食物名称	热量（千卡）	钙（毫克）	核黄素（毫克）	脂肪（克）	铁（毫克）	维生素C（毫克）	膳食纤维（克）	锌（毫克）	胆固醇（毫克）	胡萝卜素（微克）	磷（毫克）	钠（毫克）	硫胺素（毫克）	蛋白质（克）	镁（毫克）	烟酸（毫克）	碳水化合物（克）	锰（毫克）	维生素E（毫克）	维生素A（微克）	铜（毫克）	钾（毫克）	视黄醇当量（微克）	硒（微克）
18岁男性	2,600-3,000	1,000-1,200	1.3	75-105	8	90	30	11	<300	900	700	1,500	1.2	56	400	16-20%	2.3	15	333	0.9	2,000-3,000	0.9	3,000	55
18岁女性	2,000-2,400	1,000-1,200	1.0	60-80	18	75	25	8	<300	700	600	1,200	1.0	46	310	17-21%	1.8	13	400	0.8	2,000-2,800	0.8	2,310	45
30岁男性	2,400-2,800	1,000-1,200	1.3	70-100	8	90	30	11	<300	900	700	1,200	1.2	56	400	16-20%	2.3	15	333	0.9	2,000-3,000	0.9	3,000	55
30岁女性	1,800-2,200	1,000-1,200	1.1	50-70	18	75	25	8	<300	700	600	1,000	1.1	46	310	17-21%	1.8	13	400	0.8	2,000-2,800	0.8	2,310	45
50岁男性	2,200-2,600	1,000-1,200	1.3	65-95	8	90	30	11	<300	900	700	1,000	1.2	56	400	16-20%	2.3	15	333	0.9	2,000-3,000	0.9	3,000	55
50岁女性	1,600-2,000	1,000-1,200	1.1	45-65	8	75	25	8	<300	700	500	1,000	1.1	46	310	17-21%	1.8	13	400	0.8	2,000-2,800	0.8	2,310	45
谷类
小麦	317	34	0.1	1.3	5.1	0	10.8	2.33	0	1.6	325	6.8	0.4	11.9	4	4	64.4	3.1	1.82	0	0.43	289	10	4.05
五谷香	377	2	0.19	2.6	0.5	0	0.5	0.23	0	3	13	1	0.11	9.9	0	0	78.4	0.05	2.31	0	0.08	7	5.6	1.15
小麦胚粉	392	85	0.79	10.1	0.6	0	5.6	23.4	0	4.7	1168	4.6	3.5	36.4	198	3.7	38.9	17.3	23.2	0	0.83	1523	4.3	65.2
挂面	346	17	0.04	0.6	3	0	0.7	0.94	0	1.2	134	184.5	0.19	10.3	49	2.5	74.9	0.92	1.04	0	0.39	129	12.3	11.77
面条	284	11	0.07	0.7	3.6	0	0.8	1.43	0	0.6	162	28	0.22	8.3	39	1.4	61.1	0.86	0.59	0	0.17	138	28.5	11.74
通心面	350	14	0.03	0.1	2.6	0	0.4	1.55	0	0.4	97	35	0.12	11.9	58	1	75.4	0.67	0	0	0.16	209	11.8	5.8
花卷	211	19	0.02	1	0.4	0	1.5	0	0	1.3	72	95	0	6.4	12	1.1	44.1	0	0	0	0.09	83	45.7	6.17
空锅饼	277	2	0	0.2	5.8	0	0.7	1.73	0	0.9	133	243.2	0.14	8.6	30	0	60.2	0.78	0.08	0	0.13	138	29.4	24.19
烙饼	255	20	0.04	2.3	2.4	0	1.9	0.94	0	0.9	146	149.3	0.02	7.5	51	0	51	1.15	1.03	0	0.15	141	36.4	7.5
馒头	221	38	0.05	1.1	1.8	0	1.3	0.71	0	1	1.7	165.1	0.04	7	30	0	45.7	0.78	0.65	0	0.1	138	43.9	8.45
油饼	399	46	0.05	22.9	2.3	0	2	0.97	0	2	124	572.5	0.11	7.9	13	0	40.4	0.71	13.72	0	0.27	106	24.8	10.6
油条	386	6	0.07	17.6	1	0	0.9	0.75	0	2.7	77	585.2	0.01	6.9	19	0.7	50.1	0.52	3.19	0	0.19	227	21.8	8.6
水面筋	141	76	0.07	0.1	4.2	0	0.9	1.76	0	0.6	133	15	0.1	23.5	26	1.1	11.4	0.86	0.65	0	0.19	69	63.5	1
油面筋	490	29	0.05	25.1	2.5	0	1.3	2.29	0	0.5	98	29.5	0.03	26.9	40	2.2	39.1	1.28	7.18	0	0.5	45	7.1	22.8
